r(A), g(r)
1.604999999999999982e+00 2.839687246251632047e+00
1.615000000000000213e+00 2.516888428124079535e+00
1.625000000000000000e+00 2.153869156293121812e+00
1.635000000000000231e+00 1.874346969609624658e+00
1.645000000000000018e+00 1.497847221269802409e+00
1.655000000000000249e+00 1.228406263679942878e+00
1.665000000000000036e+00 9.682561282971561267e-01
1.675000000000000266e+00 7.273083365385640819e-01
1.685000000000000053e+00 5.332144711898153533e-01
1.695000000000000284e+00 3.715825074677271966e-01
1.705000000000000071e+00 2.473990019041778232e-01
1.715000000000000302e+00 1.688753779151141443e-01
1.725000000000000089e+00 1.253066392327124579e-01
1.735000000000000098e+00 8.272825231512537236e-02
1.745000000000000107e+00 4.714800438540096145e-02
1.754999999999999893e+00 3.645032669628216204e-02
1.765000000000000124e+00 3.101491872890300636e-02
1.774999999999999911e+00 2.397165322528651762e-02
1.785000000000000142e+00 1.857866630145121531e-02
1.794999999999999929e+00 2.322926678775334361e-02
1.805000000000000160e+00 2.485216746703211577e-02
1.814999999999999947e+00 2.581834957794976182e-02
1.825000000000000178e+00 2.860052601389592372e-02
1.834999999999999964e+00 3.192689414427751088e-02
1.845000000000000195e+00 4.717272716309070524e-02
1.854999999999999982e+00 4.824737848466630757e-02
1.865000000000000213e+00 6.064231110502781713e-02
1.875000000000000000e+00 6.464212805684975416e-02
1.885000000000000231e+00 7.334116215103844705e-02
1.895000000000000018e+00 8.905353260433027107e-02
1.905000000000000249e+00 1.051827748338013263e-01
1.915000000000000036e+00 1.237542150477861091e-01
1.925000000000000266e+00 1.373446834443081688e-01
1.935000000000000053e+00 1.521021110822321498e-01
1.945000000000000284e+00 1.649308308973533865e-01
1.955000000000000071e+00 1.977845019460340303e-01
1.965000000000000080e+00 2.273193070148749051e-01
1.975000000000000089e+00 2.508397785361067833e-01
1.985000000000000098e+00 2.745666751418312512e-01
1.995000000000000107e+00 3.056704363766513111e-01
2.004999999999999893e+00 3.341104943541279293e-01
2.015000000000000124e+00 3.765517705615490374e-01
2.025000000000000355e+00 4.121670396173051643e-01
2.035000000000000142e+00 4.345788354482067462e-01
2.044999999999999929e+00 4.920020186939806917e-01
2.055000000000000160e+00 5.434560292669748938e-01
2.065000000000000391e+00 5.688413320703719078e-01
2.075000000000000178e+00 6.237386369019126686e-01
2.084999999999999964e+00 6.850718942743863060e-01
2.094999999999999751e+00 7.222646812764219604e-01
2.105000000000000426e+00 8.029456766257127009e-01
2.115000000000000213e+00 8.425241228227362544e-01
2.125000000000000000e+00 8.808717147667708414e-01
2.134999999999999787e+00 9.478719883357699105e-01
2.145000000000000462e+00 1.017432409782324632e+00
2.155000000000000249e+00 1.078777734015984313e+00
2.165000000000000036e+00 1.106287187933006289e+00
2.174999999999999822e+00 1.184450194175021842e+00
2.185000000000000053e+00 1.230925474083097271e+00
2.195000000000000284e+00 1.311670889388343086e+00
2.205000000000000071e+00 1.322611510859318162e+00
2.214999999999999858e+00 1.380731234247308592e+00
2.225000000000000089e+00 1.439404299024367617e+00
2.235000000000000320e+00 1.483625537808907158e+00
2.245000000000000107e+00 1.529163532379939738e+00
2.254999999999999893e+00 1.574372423724434533e+00
2.265000000000000124e+00 1.614083091653235824e+00
2.275000000000000355e+00 1.624245492820979964e+00
2.285000000000000142e+00 1.667659891177078579e+00
2.294999999999999929e+00 1.666335265289987433e+00
2.305000000000000160e+00 1.706463803813408786e+00
2.315000000000000391e+00 1.726413282483576506e+00
2.325000000000000178e+00 1.789760266486433826e+00
2.334999999999999964e+00 1.786069195839995016e+00
2.344999999999999751e+00 1.776189200994054751e+00
2.355000000000000426e+00 1.775613595735143102e+00
2.365000000000000213e+00 1.792380035738956323e+00
2.375000000000000000e+00 1.782505046001753968e+00
2.384999999999999787e+00 1.778234714587098475e+00
2.395000000000000462e+00 1.781090649173808105e+00
2.405000000000000249e+00 1.740312243232431388e+00
2.415000000000000036e+00 1.724529589172087540e+00
2.424999999999999822e+00 1.723063426341756355e+00
2.435000000000000053e+00 1.706759659269120100e+00
2.445000000000000284e+00 1.652762768656897974e+00
2.455000000000000071e+00 1.632890802294172383e+00
2.464999999999999858e+00 1.635234196072554935e+00
2.475000000000000089e+00 1.586946773718768133e+00
2.485000000000000320e+00 1.542026507114748535e+00
2.495000000000000107e+00 1.508813541755441801e+00
2.504999999999999893e+00 1.469900109677896305e+00
2.515000000000000124e+00 1.456943428301483268e+00
2.525000000000000355e+00 1.407006656238344533e+00
