r(A), g(r)
1.205000000000000071e+00 0.000000000000000000e+00
1.214999999999999858e+00 0.000000000000000000e+00
1.225000000000000089e+00 0.000000000000000000e+00
1.234999999999999876e+00 0.000000000000000000e+00
1.245000000000000107e+00 0.000000000000000000e+00
1.254999999999999893e+00 0.000000000000000000e+00
1.265000000000000124e+00 0.000000000000000000e+00
1.274999999999999911e+00 0.000000000000000000e+00
1.285000000000000142e+00 2.730336671060876554e-04
1.294999999999999929e+00 0.000000000000000000e+00
1.305000000000000160e+00 5.294578963517853265e-04
1.314999999999999947e+00 0.000000000000000000e+00
1.324999999999999956e+00 0.000000000000000000e+00
1.334999999999999964e+00 0.000000000000000000e+00
1.344999999999999751e+00 1.246085645492046607e-03
1.354999999999999982e+00 2.946626654651759818e-03
1.364999999999999769e+00 3.387545915035220390e-03
1.375000000000000000e+00 6.199981720938047350e-03
1.384999999999999787e+00 8.226042614319877336e-03
1.395000000000000018e+00 2.455725995222490798e-02
1.404999999999999805e+00 3.471469843544128936e-02
1.415000000000000036e+00 5.696788537387866003e-02
1.424999999999999822e+00 1.012412669680841926e-01
1.435000000000000053e+00 1.333324771858612201e-01
1.444999999999999840e+00 2.062006998018336146e-01
1.455000000000000071e+00 3.038928232837427301e-01
1.464999999999999858e+00 4.678077637647802822e-01
1.475000000000000089e+00 6.224985514367679107e-01
1.484999999999999876e+00 8.300334291906877882e-01
1.495000000000000107e+00 1.089063993291431220e+00
1.504999999999999893e+00 1.359272624306287813e+00
1.515000000000000124e+00 1.700060058099552851e+00
1.524999999999999911e+00 2.004293441730457648e+00
1.535000000000000142e+00 2.354629650733259805e+00
1.544999999999999929e+00 2.603587995053901594e+00
1.555000000000000160e+00 2.819865144741135587e+00
1.564999999999999947e+00 2.985505306859037589e+00
1.574999999999999956e+00 3.091292657534271626e+00
1.584999999999999964e+00 3.086685425006397754e+00
1.594999999999999973e+00 2.963924994360217724e+00
1.604999999999999982e+00 2.836099212916909362e+00
1.614999999999999769e+00 2.564104251624068187e+00
1.625000000000000000e+00 2.295154498685250566e+00
1.634999999999999787e+00 2.015538924997186232e+00
1.645000000000000018e+00 1.705045863819748320e+00
1.654999999999999805e+00 1.410117259009476154e+00
1.665000000000000036e+00 1.152378454212746650e+00
1.674999999999999822e+00 9.173876255258737178e-01
1.685000000000000053e+00 6.869247465066427027e-01
1.694999999999999840e+00 5.172139803600929175e-01
1.705000000000000071e+00 3.987271122961787428e-01
1.714999999999999858e+00 2.846466732426736757e-01
1.725000000000000089e+00 2.139335783096850685e-01
1.734999999999999876e+00 1.599538699336503778e-01
1.745000000000000107e+00 1.199269016653302655e-01
1.754999999999999893e+00 1.029019348635081404e-01
1.765000000000000124e+00 8.480679563845576474e-02
1.774999999999999911e+00 7.870248262868077826e-02
1.784999999999999920e+00 8.178503709156458024e-02
1.794999999999999929e+00 9.360944479049360112e-02
1.804999999999999938e+00 1.029534680131778818e-01
1.814999999999999947e+00 1.022326928714752531e-01
1.824999999999999956e+00 1.284585253824492568e-01
1.834999999999999964e+00 1.395140798966134632e-01
1.844999999999999973e+00 1.605211773016669563e-01
1.854999999999999982e+00 1.945633714362336730e-01
1.864999999999999991e+00 2.050554253512033298e-01
1.875000000000000000e+00 2.430127878123913843e-01
1.885000000000000009e+00 2.626455783470528771e-01
1.895000000000000018e+00 3.039476698373617114e-01
1.904999999999999805e+00 3.379102778710313948e-01
1.915000000000000036e+00 3.681982563973885125e-01
1.924999999999999822e+00 4.222946733394027374e-01
1.935000000000000053e+00 4.597232230384016849e-01
1.944999999999999840e+00 4.943357208530613778e-01
1.955000000000000071e+00 5.606563538033734195e-01
1.964999999999999858e+00 6.097252992516568604e-01
1.975000000000000089e+00 6.493367640626845905e-01
1.984999999999999876e+00 7.100896891164216740e-01
1.995000000000000107e+00 7.826216361019663337e-01
2.004999999999999893e+00 8.284414164929505553e-01
2.014999999999999680e+00 8.838639570613227026e-01
2.025000000000000355e+00 9.503578373211170049e-01
2.035000000000000142e+00 1.011041717746523849e+00
2.044999999999999929e+00 1.085049651968931439e+00
2.054999999999999716e+00 1.135687356929595326e+00
2.064999999999999947e+00 1.211515751262589369e+00
2.075000000000000178e+00 1.258608681421707898e+00
2.084999999999999964e+00 1.319263635040832661e+00
2.094999999999999751e+00 1.384766381767133847e+00
2.104999999999999982e+00 1.441031625934666938e+00
2.115000000000000213e+00 1.502119748700297519e+00
2.125000000000000000e+00 1.554209338492274828e+00
2.134999999999999787e+00 1.566982408462096021e+00
2.145000000000000018e+00 1.632853123541439189e+00
2.155000000000000249e+00 1.676758581846208296e+00
2.165000000000000036e+00 1.675251470863589942e+00
2.174999999999999822e+00 1.736791326560689352e+00
2.184999999999999609e+00 1.757758814431324534e+00
2.195000000000000284e+00 1.795771247683124905e+00
2.205000000000000071e+00 1.794912656441514320e+00
2.214999999999999858e+00 1.834888016510055175e+00
2.224999999999999645e+00 1.806592956767338221e+00
2.235000000000000320e+00 1.837394925237455512e+00
2.245000000000000107e+00 1.837969023690572801e+00
2.254999999999999893e+00 1.818778100022352406e+00
2.264999999999999680e+00 1.835005364149358886e+00
2.275000000000000355e+00 1.826661544413133553e+00
2.285000000000000142e+00 1.781695466121883342e+00
2.294999999999999929e+00 1.795647804204264508e+00
2.304999999999999716e+00 1.764996843214326594e+00
2.315000000000000391e+00 1.747005328635926391e+00
2.325000000000000178e+00 1.701567908644390226e+00
2.334999999999999964e+00 1.666765810656907210e+00
2.344999999999999751e+00 1.611833867563092326e+00
2.354999999999999982e+00 1.609961465380408852e+00
2.365000000000000213e+00 1.571549117157001074e+00
2.375000000000000000e+00 1.532766139458118682e+00
2.384999999999999787e+00 1.487285210832982596e+00
2.394999999999999574e+00 1.444945388474757841e+00
2.405000000000000249e+00 1.391642958481900560e+00
2.415000000000000036e+00 1.356255648177221884e+00
2.424999999999999822e+00 1.311283690119305456e+00
2.434999999999999609e+00 1.270652998248457788e+00
2.445000000000000284e+00 1.220385186506251385e+00
2.455000000000000071e+00 1.174183904386479238e+00
2.464999999999999858e+00 1.130174596636093876e+00
2.474999999999999645e+00 1.086395182606440191e+00
2.485000000000000320e+00 1.039924084010137806e+00
2.495000000000000107e+00 1.017916624989408936e+00
2.504999999999999893e+00 9.648297158741517832e-01
2.514999999999999680e+00 9.169011344682129749e-01
2.525000000000000355e+00 8.829941051849891087e-01
2.535000000000000142e+00 8.537317268652221403e-01
2.544999999999999929e+00 8.288686429411669110e-01
2.554999999999999716e+00 7.911769998394329040e-01
2.565000000000000391e+00 7.558969676771550850e-01
2.575000000000000178e+00 7.233838349348017394e-01
2.584999999999999964e+00 7.070703811704601716e-01
2.594999999999999751e+00 6.665498285090920572e-01
2.604999999999999982e+00 6.603127646357765945e-01
2.615000000000000213e+00 6.282411768669388108e-01
2.625000000000000000e+00 6.118175054745763619e-01
2.634999999999999787e+00 5.780928417355660764e-01
2.644999999999999574e+00 5.572326609347180160e-01
2.655000000000000249e+00 5.532987876739942079e-01
2.665000000000000036e+00 5.256036439973146290e-01
2.674999999999999822e+00 5.138056198260699814e-01
2.684999999999999609e+00 5.047949837825342900e-01
2.695000000000000284e+00 4.893859918931570130e-01
2.705000000000000071e+00 4.798592395325889104e-01
2.714999999999999858e+00 4.741901992609217631e-01
2.724999999999999645e+00 4.633091718848020291e-01
2.735000000000000320e+00 4.539605436731281030e-01
2.745000000000000107e+00 4.465305750978377786e-01
2.754999999999999893e+00 4.425820687577416424e-01
2.764999999999999680e+00 4.424529882776864764e-01
2.775000000000000355e+00 4.390356999902481627e-01
2.785000000000000142e+00 4.239726263432429532e-01
2.794999999999999929e+00 4.134995371328618052e-01
2.804999999999999716e+00 4.261421647980830896e-01
2.815000000000000391e+00 4.292644300253840584e-01
2.825000000000000178e+00 4.104130595369497314e-01
2.834999999999999964e+00 4.233974348197047655e-01
2.844999999999999751e+00 4.192008262509100414e-01
2.855000000000000426e+00 4.168777801420263107e-01
2.865000000000000213e+00 4.179273459370087540e-01
2.875000000000000000e+00 4.281156347131576667e-01
2.884999999999999787e+00 4.211987507171000011e-01
2.894999999999999574e+00 4.290525294138587409e-01
2.905000000000000249e+00 4.336898229049129805e-01
2.915000000000000036e+00 4.345925380319743958e-01
2.924999999999999822e+00 4.386871959970610746e-01
2.934999999999999609e+00 4.445478385019918655e-01
2.945000000000000284e+00 4.449127847807069491e-01
2.955000000000000071e+00 4.408223825362821979e-01
2.964999999999999858e+00 4.558029251674159399e-01
2.974999999999999645e+00 4.607412418296759071e-01
2.985000000000000320e+00 4.644901061150927268e-01
2.995000000000000107e+00 4.698875776407331895e-01
3.004999999999999893e+00 4.829416844498444772e-01
3.014999999999999680e+00 4.845542289404311531e-01
3.025000000000000355e+00 5.007677543834575529e-01
3.035000000000000142e+00 4.967390691466789798e-01
3.044999999999999929e+00 5.029147673234557470e-01
3.054999999999999716e+00 5.164865047949444010e-01
3.065000000000000391e+00 5.192646528676545525e-01
3.075000000000000178e+00 5.399709899825874126e-01
3.084999999999999964e+00 5.437711680418462201e-01
3.094999999999999751e+00 5.535354004767526481e-01
3.105000000000000426e+00 5.597490933897567578e-01
3.115000000000000213e+00 5.762794050890088782e-01
3.125000000000000000e+00 5.818764875627741029e-01
3.134999999999999787e+00 5.954640090404799135e-01
3.144999999999999574e+00 6.021212790522086911e-01
3.155000000000000249e+00 6.012996818128554244e-01
3.165000000000000036e+00 6.238347920889316667e-01
3.174999999999999822e+00 6.310474439241510192e-01
3.184999999999999609e+00 6.411794814080440386e-01
3.195000000000000284e+00 6.568698227476819085e-01
3.205000000000000071e+00 6.659881004437828711e-01
3.214999999999999858e+00 6.856230612925123813e-01
3.225000000000000089e+00 6.876197525775117336e-01
3.235000000000000320e+00 7.084476520119177279e-01
3.245000000000000107e+00 7.115805595899050706e-01
3.254999999999999893e+00 7.348313244194739635e-01
3.264999999999999680e+00 7.436588682088907110e-01
3.274999999999999911e+00 7.637982819940000168e-01
3.285000000000000142e+00 7.769109582575636219e-01
3.294999999999999929e+00 7.751922314579379192e-01
3.304999999999999716e+00 7.968000190013994066e-01
3.314999999999999947e+00 8.010256711720391554e-01
3.325000000000000178e+00 8.216201853677334022e-01
3.334999999999999964e+00 8.468178619352525471e-01
3.344999999999999751e+00 8.451468609541996635e-01
3.354999999999999982e+00 8.649091776529274078e-01
3.365000000000000213e+00 8.675004064374272073e-01
3.375000000000000000e+00 8.947040731781340517e-01
3.384999999999999787e+00 9.081544856747961747e-01
3.395000000000000018e+00 9.217049381565868282e-01
3.405000000000000249e+00 9.227540567346400602e-01
3.415000000000000036e+00 9.299990600576757416e-01
3.424999999999999822e+00 9.440233011256056184e-01
3.435000000000000053e+00 9.778521652249072549e-01
3.445000000000000284e+00 9.924309599338897447e-01
3.455000000000000071e+00 9.959098190218590441e-01
3.464999999999999858e+00 1.002486287985996372e+00
3.475000000000000089e+00 1.029430094743582824e+00
3.485000000000000320e+00 1.029098908450281069e+00
3.495000000000000107e+00 1.037649635348045551e+00
3.504999999999999893e+00 1.059774645145633798e+00
3.514999999999999680e+00 1.058934765849232962e+00
3.524999999999999911e+00 1.088565137693389806e+00
3.535000000000000142e+00 1.097856489965042259e+00
3.544999999999999929e+00 1.102900220348424609e+00
3.554999999999999716e+00 1.120177193255165626e+00
3.564999999999999947e+00 1.130928957582613359e+00
3.575000000000000178e+00 1.143130448615830463e+00
3.584999999999999964e+00 1.159247526456835820e+00
3.594999999999999751e+00 1.154411932930894169e+00
3.604999999999999982e+00 1.166853311740352339e+00
3.615000000000000213e+00 1.176379633696714500e+00
3.625000000000000000e+00 1.189728743372048259e+00
3.634999999999999787e+00 1.202538029738671188e+00
3.645000000000000018e+00 1.215256897954663851e+00
3.655000000000000249e+00 1.220427952907240821e+00
3.665000000000000036e+00 1.219382329913337504e+00
3.674999999999999822e+00 1.217228405104820999e+00
3.685000000000000053e+00 1.245956537044415224e+00
3.695000000000000284e+00 1.236150672482398294e+00
3.705000000000000071e+00 1.226103945568786102e+00
3.714999999999999858e+00 1.237054000824766131e+00
3.725000000000000089e+00 1.241793044167114335e+00
3.735000000000000320e+00 1.251828415471895051e+00
3.745000000000000107e+00 1.248045095017903172e+00
3.754999999999999893e+00 1.257042056808442387e+00
3.764999999999999680e+00 1.246843079045806713e+00
3.774999999999999911e+00 1.266061428113670173e+00
3.785000000000000142e+00 1.258813924722455235e+00
3.794999999999999929e+00 1.253753796397056641e+00
3.804999999999999716e+00 1.242532621474766286e+00
3.814999999999999947e+00 1.246961956615116440e+00
3.825000000000000178e+00 1.244795306106815103e+00
3.834999999999999964e+00 1.236932563732824786e+00
3.844999999999999751e+00 1.234959232490659309e+00
3.854999999999999982e+00 1.240118915995850779e+00
3.865000000000000213e+00 1.233770404021975020e+00
3.875000000000000000e+00 1.222606817292414494e+00
3.884999999999999787e+00 1.222713187840067661e+00
3.895000000000000018e+00 1.219741480646216569e+00
3.905000000000000249e+00 1.217818918842220155e+00
3.915000000000000036e+00 1.208252333802349643e+00
3.924999999999999822e+00 1.208629490900071879e+00
3.935000000000000053e+00 1.210093624006100876e+00
3.945000000000000284e+00 1.201127648610284648e+00
3.955000000000000071e+00 1.189498642294613440e+00
3.964999999999999858e+00 1.182588546356626136e+00
3.975000000000000089e+00 1.180925857188594330e+00
3.985000000000000320e+00 1.177618321138492741e+00
3.995000000000000107e+00 1.160515752141085155e+00
4.004999999999999893e+00 1.169596355743909522e+00
4.014999999999999680e+00 1.159162864242999413e+00
4.025000000000000355e+00 1.156109573852084349e+00
4.035000000000000142e+00 1.144321984443528617e+00
4.044999999999999929e+00 1.143933843421724328e+00
4.054999999999999716e+00 1.154146495198992595e+00
4.064999999999999503e+00 1.150548574320969797e+00
4.075000000000000178e+00 1.126826847180322000e+00
4.084999999999999964e+00 1.136824501014874533e+00
4.094999999999999751e+00 1.134209519980879710e+00
4.105000000000000426e+00 1.134870539905839415e+00
