r(A),g(r)
1.604999999999999982e+00,2.675117819833415567e+00
1.615000000000000213e+00,2.511812852460229450e+00
1.625000000000000000e+00,2.281395877339086997e+00
1.635000000000000231e+00,2.022738247713368409e+00
1.645000000000000018e+00,1.737880613725217627e+00
1.655000000000000249e+00,1.451285578400526299e+00
1.665000000000000036e+00,1.137184652491881609e+00
1.675000000000000266e+00,9.179406688915031642e-01
1.685000000000000053e+00,7.170581666241899743e-01
1.695000000000000284e+00,5.348415676478270875e-01
1.705000000000000071e+00,4.151825778896843233e-01
1.715000000000000302e+00,3.171640022857483143e-01
1.725000000000000089e+00,2.623339994789302687e-01
1.735000000000000098e+00,2.244159530021586357e-01
1.745000000000000107e+00,2.117757150178886383e-01
1.754999999999999893e+00,2.042947146035956063e-01
1.765000000000000124e+00,2.024508682246170532e-01
1.774999999999999911e+00,2.300326288089166449e-01
1.785000000000000142e+00,2.436319074595209577e-01
1.794999999999999929e+00,2.608672374014950335e-01
1.805000000000000160e+00,2.839253638278395053e-01
1.814999999999999947e+00,3.049672388741889173e-01
1.825000000000000178e+00,3.403922525094363882e-01
1.834999999999999964e+00,3.595568443738692554e-01
1.845000000000000195e+00,3.824534147771169734e-01
1.854999999999999982e+00,4.259490970291789358e-01
1.865000000000000213e+00,4.478554400924493750e-01
1.875000000000000000e+00,4.800564730937836311e-01
1.885000000000000231e+00,5.114693420206957164e-01
1.895000000000000018e+00,5.407433610062601925e-01
1.905000000000000249e+00,5.577317920557727238e-01
1.915000000000000036e+00,5.834131776994979646e-01
1.925000000000000266e+00,6.351667203418693841e-01
1.935000000000000053e+00,6.691248235463979066e-01
1.945000000000000284e+00,6.995984504381840274e-01
1.955000000000000071e+00,7.312326361187220236e-01
1.965000000000000080e+00,7.704338161470666302e-01
1.975000000000000089e+00,7.868416708738052989e-01
1.985000000000000098e+00,8.249910514655961480e-01
1.995000000000000107e+00,8.544839297539855716e-01
2.004999999999999893e+00,8.898287041505620332e-01
2.015000000000000124e+00,9.356946186525043618e-01
2.025000000000000355e+00,9.580267305778750186e-01
2.035000000000000142e+00,9.643599067643261469e-01
2.044999999999999929e+00,1.025752810074539001e+00
2.055000000000000160e+00,1.030118438794056290e+00
2.065000000000000391e+00,1.072090261549644818e+00
2.075000000000000178e+00,1.105476483880657446e+00
2.084999999999999964e+00,1.125590914272174281e+00
2.094999999999999751e+00,1.146195074308237194e+00
2.105000000000000426e+00,1.170799606262802328e+00
2.115000000000000213e+00,1.181753746652800752e+00
2.125000000000000000e+00,1.216230103399603468e+00
2.134999999999999787e+00,1.227151123398686927e+00
2.145000000000000462e+00,1.234670757507988048e+00
2.155000000000000249e+00,1.261630440105786954e+00
2.165000000000000036e+00,1.255498310026580633e+00
2.174999999999999822e+00,1.269738231556673647e+00
2.185000000000000053e+00,1.300822234034909597e+00
2.195000000000000284e+00,1.294162957916681123e+00
2.205000000000000071e+00,1.307870373743796444e+00
2.214999999999999858e+00,1.316086623913172771e+00
2.225000000000000089e+00,1.325213485946497460e+00
2.235000000000000320e+00,1.333313481172258230e+00
2.245000000000000107e+00,1.336048423765324733e+00
2.254999999999999893e+00,1.333502873110293807e+00
2.265000000000000124e+00,1.334842914066575403e+00
2.275000000000000355e+00,1.323860818862308886e+00
2.285000000000000142e+00,1.331091035749457197e+00
2.294999999999999929e+00,1.324407147247833594e+00
2.305000000000000160e+00,1.323018643165140507e+00
2.315000000000000391e+00,1.313827649160248301e+00
2.325000000000000178e+00,1.313526607082929010e+00
2.334999999999999964e+00,1.304529537464914180e+00
