r(A), g(r)
5.000000000000000104e-03 0.000000000000000000e+00
1.499999999999999944e-02 0.000000000000000000e+00
2.500000000000000139e-02 0.000000000000000000e+00
3.500000000000000333e-02 0.000000000000000000e+00
4.499999999999999833e-02 0.000000000000000000e+00
5.500000000000000028e-02 0.000000000000000000e+00
6.500000000000000222e-02 0.000000000000000000e+00
7.500000000000001110e-02 0.000000000000000000e+00
8.499999999999999223e-02 0.000000000000000000e+00
9.500000000000000111e-02 0.000000000000000000e+00
1.050000000000000100e-01 0.000000000000000000e+00
1.149999999999999911e-01 0.000000000000000000e+00
1.250000000000000000e-01 0.000000000000000000e+00
1.350000000000000089e-01 0.000000000000000000e+00
1.450000000000000178e-01 0.000000000000000000e+00
1.549999999999999989e-01 0.000000000000000000e+00
1.650000000000000078e-01 0.000000000000000000e+00
1.749999999999999889e-01 0.000000000000000000e+00
1.849999999999999978e-01 0.000000000000000000e+00
1.950000000000000067e-01 0.000000000000000000e+00
2.050000000000000155e-01 0.000000000000000000e+00
2.149999999999999967e-01 0.000000000000000000e+00
2.250000000000000056e-01 0.000000000000000000e+00
2.349999999999999867e-01 0.000000000000000000e+00
2.449999999999999956e-01 0.000000000000000000e+00
2.550000000000000044e-01 0.000000000000000000e+00
2.650000000000000133e-01 0.000000000000000000e+00
2.750000000000000222e-01 0.000000000000000000e+00
2.850000000000000311e-01 0.000000000000000000e+00
2.949999999999999845e-01 0.000000000000000000e+00
3.049999999999999933e-01 0.000000000000000000e+00
3.150000000000000022e-01 0.000000000000000000e+00
3.250000000000000111e-01 0.000000000000000000e+00
3.350000000000000200e-01 0.000000000000000000e+00
3.450000000000000289e-01 0.000000000000000000e+00
3.549999999999999822e-01 0.000000000000000000e+00
3.649999999999999911e-01 0.000000000000000000e+00
3.750000000000000000e-01 0.000000000000000000e+00
3.850000000000000089e-01 0.000000000000000000e+00
3.950000000000000178e-01 0.000000000000000000e+00
4.050000000000000266e-01 0.000000000000000000e+00
4.150000000000000355e-01 0.000000000000000000e+00
4.249999999999999889e-01 0.000000000000000000e+00
4.349999999999999978e-01 0.000000000000000000e+00
4.450000000000000067e-01 0.000000000000000000e+00
4.550000000000000155e-01 0.000000000000000000e+00
4.650000000000000244e-01 0.000000000000000000e+00
4.749999999999999778e-01 0.000000000000000000e+00
4.849999999999999867e-01 0.000000000000000000e+00
4.949999999999999956e-01 0.000000000000000000e+00
5.050000000000000044e-01 0.000000000000000000e+00
5.150000000000000133e-01 0.000000000000000000e+00
5.250000000000000222e-01 0.000000000000000000e+00
5.350000000000000311e-01 0.000000000000000000e+00
5.450000000000000400e-01 0.000000000000000000e+00
5.550000000000000488e-01 0.000000000000000000e+00
5.650000000000000577e-01 0.000000000000000000e+00
5.749999999999999556e-01 0.000000000000000000e+00
5.849999999999999645e-01 0.000000000000000000e+00
5.949999999999999734e-01 0.000000000000000000e+00
6.049999999999999822e-01 0.000000000000000000e+00
6.149999999999999911e-01 0.000000000000000000e+00
6.250000000000000000e-01 0.000000000000000000e+00
6.350000000000000089e-01 0.000000000000000000e+00
6.450000000000000178e-01 0.000000000000000000e+00
6.550000000000000266e-01 0.000000000000000000e+00
6.650000000000000355e-01 0.000000000000000000e+00
6.750000000000000444e-01 0.000000000000000000e+00
6.850000000000000533e-01 0.000000000000000000e+00
6.950000000000000622e-01 0.000000000000000000e+00
7.050000000000000711e-01 0.000000000000000000e+00
7.149999999999999689e-01 0.000000000000000000e+00
7.249999999999999778e-01 0.000000000000000000e+00
7.349999999999999867e-01 0.000000000000000000e+00
7.449999999999999956e-01 0.000000000000000000e+00
7.550000000000000044e-01 0.000000000000000000e+00
7.650000000000000133e-01 0.000000000000000000e+00
7.750000000000000222e-01 0.000000000000000000e+00
7.850000000000000311e-01 0.000000000000000000e+00
7.950000000000000400e-01 0.000000000000000000e+00
8.050000000000000488e-01 0.000000000000000000e+00
8.150000000000000577e-01 0.000000000000000000e+00
8.250000000000000666e-01 0.000000000000000000e+00
8.349999999999999645e-01 0.000000000000000000e+00
8.449999999999999734e-01 0.000000000000000000e+00
8.549999999999999822e-01 0.000000000000000000e+00
8.649999999999999911e-01 0.000000000000000000e+00
8.750000000000000000e-01 1.517815012001796687e-04
8.850000000000000089e-01 1.780449477834147821e-03
8.950000000000000178e-01 1.131575359670201029e-02
9.050000000000000266e-01 7.044611451017540604e-02
9.150000000000000355e-01 3.182014147102253943e-01
9.250000000000000444e-01 1.159191024916601975e+00
9.350000000000000533e-01 3.313858853933187909e+00
9.450000000000000622e-01 7.658173119968939346e+00
9.550000000000000711e-01 1.451671030471111834e+01
9.649999999999999689e-01 2.283516323233651235e+01
9.749999999999999778e-01 3.042041320517964564e+01
9.849999999999999867e-01 3.473385596103286588e+01
9.949999999999999956e-01 3.428798024804698485e+01
1.004999999999999893e+00 2.997480720840079371e+01
1.015000000000000124e+00 2.323274409757535253e+01
1.024999999999999911e+00 1.619735025964310537e+01
1.035000000000000142e+00 1.021930330590044100e+01
1.044999999999999929e+00 6.004459734435263485e+00
1.055000000000000160e+00 3.267628991235021374e+00
1.064999999999999947e+00 1.642875672478718574e+00
1.075000000000000178e+00 7.873716680026082715e-01
1.084999999999999964e+00 3.628205694987385321e-01
1.095000000000000195e+00 1.592371056316962963e-01
1.104999999999999982e+00 7.228333339196686691e-02
1.115000000000000213e+00 3.341652314638021010e-02
1.125000000000000000e+00 1.285458145966953715e-02
1.135000000000000231e+00 5.412457227101825051e-03
1.145000000000000018e+00 3.456914065253609974e-03
1.155000000000000027e+00 1.524435417242391878e-03
1.165000000000000036e+00 6.849724215595058910e-04
1.174999999999999822e+00 3.366814648623270962e-04
1.185000000000000053e+00 4.137788169858376054e-04
1.194999999999999840e+00 1.627530496404300502e-04
1.205000000000000071e+00 1.200472221790818114e-04
1.214999999999999858e+00 1.180792682582813168e-04
1.225000000000000089e+00 1.161593121429945949e-04
1.234999999999999876e+00 7.619053703970730159e-05
1.245000000000000107e+00 1.874287702720722629e-04
1.254999999999999893e+00 1.844537576489064536e-04
1.265000000000000124e+00 1.452392155557968953e-04
1.274999999999999911e+00 2.501973034970281988e-04
1.285000000000000142e+00 2.463183342653825535e-04
1.294999999999999929e+00 6.236456860854716752e-04
1.305000000000000160e+00 6.141245176714890805e-04
1.314999999999999947e+00 1.142437277716079787e-03
1.325000000000000178e+00 1.125258014415713706e-03
1.334999999999999964e+00 1.760500621482957240e-03
1.345000000000000195e+00 2.537391477910646773e-03
1.354999999999999982e+00 2.974775646982048480e-03
1.365000000000000213e+00 3.773332027700060029e-03
1.375000000000000000e+00 5.101614589926698612e-03
1.385000000000000231e+00 7.845220808509002774e-03
1.395000000000000018e+00 8.927456185059254659e-03
1.405000000000000027e+00 1.203858972132128453e-02
1.415000000000000036e+00 1.758590402801155084e-02
1.424999999999999822e+00 2.226152042456621544e-02
1.435000000000000053e+00 2.894999632498964498e-02
1.444999999999999840e+00 3.776148872478009982e-02
1.455000000000000071e+00 5.044573738903421201e-02
1.464999999999999858e+00 6.099453105160018013e-02
1.475000000000000089e+00 7.758308599662300242e-02
1.484999999999999876e+00 9.848982006806032696e-02
1.495000000000000107e+00 1.219257432481644643e-01
1.504999999999999893e+00 1.511453158922827500e-01
1.515000000000000124e+00 1.854078100482920710e-01
1.524999999999999911e+00 2.206353783184646089e-01
1.535000000000000142e+00 2.614177239842468969e-01
1.544999999999999929e+00 3.165373393618549636e-01
1.555000000000000160e+00 3.717118505198371836e-01
1.564999999999999947e+00 4.411359515702981682e-01
1.575000000000000178e+00 5.143472198849914356e-01
1.584999999999999964e+00 5.944935317411030873e-01
1.595000000000000195e+00 6.739889696213668957e-01
1.604999999999999982e+00 7.594479203820940771e-01
1.615000000000000213e+00 8.490718265667940301e-01
1.625000000000000000e+00 9.365708965595795910e-01
1.635000000000000231e+00 1.031740251269347430e+00
1.645000000000000018e+00 1.116996586964484228e+00
1.655000000000000249e+00 1.196410901869898735e+00
1.665000000000000036e+00 1.290505141974676251e+00
1.674999999999999822e+00 1.351996088771761917e+00
1.685000000000000053e+00 1.432548677483993949e+00
1.694999999999999840e+00 1.499442603607049618e+00
1.705000000000000071e+00 1.549902530626966035e+00
1.714999999999999858e+00 1.592449345552176654e+00
1.725000000000000089e+00 1.628928969673884453e+00
1.734999999999999876e+00 1.670274137326742014e+00
1.745000000000000107e+00 1.685932984681449920e+00
1.754999999999999893e+00 1.700561551496181822e+00
1.765000000000000124e+00 1.701844402992436001e+00
1.774999999999999911e+00 1.693308420905343059e+00
1.785000000000000142e+00 1.665781551402297778e+00
1.794999999999999929e+00 1.633423409894068756e+00
1.805000000000000160e+00 1.606368464029649168e+00
1.814999999999999947e+00 1.572594977787439730e+00
1.825000000000000178e+00 1.528280786559125026e+00
1.834999999999999964e+00 1.482869383302075628e+00
1.845000000000000195e+00 1.446099448222787798e+00
1.854999999999999982e+00 1.393790100298864187e+00
1.865000000000000213e+00 1.329352944980213280e+00
1.875000000000000000e+00 1.287197187201569060e+00
1.885000000000000231e+00 1.239857442276123489e+00
1.895000000000000018e+00 1.186420377450674746e+00
1.905000000000000249e+00 1.128238139911416971e+00
1.915000000000000036e+00 1.087950526942130347e+00
1.924999999999999822e+00 1.037037699005938451e+00
1.935000000000000053e+00 9.874113465016234326e-01
1.944999999999999840e+00 9.313450521140660410e-01
1.955000000000000071e+00 8.874994290283354514e-01
1.964999999999999858e+00 8.463166381802527116e-01
1.975000000000000089e+00 8.003491940819542627e-01
1.984999999999999876e+00 7.555281889945392182e-01
1.995000000000000107e+00 7.136948146711663554e-01
2.004999999999999893e+00 6.732344961236155223e-01
2.015000000000000124e+00 6.409387409101570121e-01
2.025000000000000355e+00 6.013682668979656309e-01
2.035000000000000142e+00 5.621218078967346043e-01
2.044999999999999929e+00 5.371170584413157423e-01
2.054999999999999716e+00 5.007799016625450461e-01
2.064999999999999947e+00 4.802989564605297246e-01
2.075000000000000178e+00 4.510795734082286845e-01
2.084999999999999964e+00 4.256585522362396623e-01
2.094999999999999751e+00 4.047521468090514163e-01
2.104999999999999982e+00 3.786891871181742308e-01
2.115000000000000213e+00 3.622962738402785154e-01
2.125000000000000000e+00 3.420897691254166650e-01
2.134999999999999787e+00 3.203457493501172260e-01
2.145000000000000018e+00 3.014034328086026560e-01
2.155000000000000249e+00 2.895668394554543057e-01
2.165000000000000036e+00 2.732869891658625261e-01
2.174999999999999822e+00 2.592465238898425395e-01
2.185000000000000053e+00 2.442583641279681694e-01
2.195000000000000284e+00 2.313288462418963132e-01
2.205000000000000071e+00 2.211090116532599681e-01
2.214999999999999858e+00 2.100809278641377897e-01
2.225000000000000089e+00 1.980563199168326738e-01
2.235000000000000320e+00 1.887854064060346670e-01
2.245000000000000107e+00 1.808127690592389869e-01
2.254999999999999893e+00 1.741278873731682553e-01
2.265000000000000124e+00 1.659681407290618804e-01
2.275000000000000355e+00 1.616046382970847128e-01
