r(A), g(r)
8.050000000000000488e-01 0.000000000000000000e+00
8.150000000000000577e-01 0.000000000000000000e+00
8.250000000000000666e-01 0.000000000000000000e+00
8.350000000000000755e-01 0.000000000000000000e+00
8.450000000000000844e-01 0.000000000000000000e+00
8.550000000000000933e-01 0.000000000000000000e+00
8.650000000000001021e-01 0.000000000000000000e+00
8.750000000000000000e-01 1.764831648051645024e-03
8.850000000000000089e-01 7.475753028403514695e-03
8.950000000000000178e-01 4.554461998635198072e-02
9.050000000000000266e-01 1.710256954703446575e-01
9.150000000000000355e-01 6.950538608128387086e-01
9.250000000000000444e-01 2.236140961804516269e+00
9.350000000000000533e-01 5.473472933265492557e+00
9.450000000000000622e-01 1.121428660677535483e+01
9.550000000000000711e-01 1.893898759763214912e+01
9.650000000000000799e-01 2.693861796499620809e+01
9.750000000000000888e-01 3.244110015841258132e+01
9.849999999999999867e-01 3.400425799411523542e+01
9.949999999999999956e-01 3.147168349966392498e+01
1.004999999999999893e+00 2.548708927055847440e+01
1.015000000000000124e+00 1.862192926297062101e+01
1.024999999999999911e+00 1.252738256270520090e+01
1.035000000000000142e+00 7.667380543495858625e+00
1.044999999999999929e+00 4.318294283173917947e+00
1.055000000000000160e+00 2.299293675022473948e+00
1.064999999999999947e+00 1.131335378138421222e+00
1.075000000000000178e+00 5.779927049259456773e-01
1.084999999999999964e+00 2.727898380724989025e-01
1.095000000000000195e+00 1.303464990296895054e-01
1.104999999999999982e+00 6.860985835134539301e-02
1.115000000000000213e+00 4.202487099883680383e-02
1.125000000000000000e+00 2.348751255061325496e-02
1.135000000000000231e+00 1.153772946180592687e-02
1.145000000000000018e+00 1.133707712357502617e-02
1.155000000000000249e+00 4.726745307759988579e-03
1.165000000000000036e+00 5.973361368407775589e-03
1.175000000000000044e+00 5.219662034376374056e-03
1.185000000000000053e+00 4.169699774374720398e-03
1.195000000000000062e+00 1.577002305678052189e-03
1.205000000000000071e+00 4.032435161702685976e-03
1.214999999999999858e+00 2.745921313904467649e-03
1.225000000000000089e+00 4.201980114408677969e-03
1.234999999999999876e+00 4.134207352478830831e-03
1.245000000000000107e+00 5.520940066612102341e-03
1.254999999999999893e+00 3.717526176201230766e-03
1.265000000000000124e+00 5.066284668241804665e-03
1.274999999999999911e+00 2.493562593844596276e-03
1.285000000000000142e+00 3.545971424652206820e-03
1.294999999999999929e+00 5.639984266052554783e-03
1.305000000000000160e+00 5.553878900061232950e-03
1.314999999999999947e+00 6.511583852783475387e-03
1.325000000000000178e+00 6.926760028397784680e-03
1.334999999999999964e+00 8.845118334083131723e-03
1.345000000000000195e+00 1.269766140278447315e-02
1.354999999999999982e+00 1.177499635823730725e-02
1.365000000000000213e+00 1.426214486563760417e-02
1.375000000000000000e+00 1.929646504439938917e-02
1.385000000000000009e+00 2.183642489631078612e-02
1.395000000000000018e+00 3.865148554962093835e-02
1.405000000000000027e+00 5.270568546575885721e-02
1.415000000000000036e+00 5.331305882836529647e-02
1.425000000000000044e+00 7.496958488517321828e-02
1.435000000000000053e+00 9.339469483913993841e-02
1.445000000000000062e+00 1.251095419056977298e-01
1.455000000000000071e+00 1.480748793638116678e-01
1.465000000000000080e+00 1.890809066642012426e-01
1.475000000000000089e+00 2.347616474088807803e-01
1.485000000000000098e+00 2.810371037305199327e-01
1.495000000000000107e+00 3.472170369786509725e-01
1.504999999999999893e+00 4.146018102338742128e-01
1.515000000000000124e+00 4.684090613190258212e-01
1.524999999999999911e+00 5.498241856851034948e-01
1.535000000000000142e+00 6.405540814279904183e-01
1.544999999999999929e+00 7.353118632904404040e-01
1.555000000000000160e+00 8.337338331758333831e-01
1.564999999999999947e+00 9.466904345684256095e-01
1.575000000000000178e+00 1.014596630587714987e+00
1.584999999999999964e+00 1.143468265830912101e+00
1.595000000000000195e+00 1.271694011519215683e+00
1.604999999999999982e+00 1.366747137563699477e+00
