r(A), g(r)
5.000000000000000104e-03 0.000000000000000000e+00
1.499999999999999944e-02 0.000000000000000000e+00
2.500000000000000139e-02 0.000000000000000000e+00
3.500000000000000333e-02 0.000000000000000000e+00
4.499999999999999833e-02 0.000000000000000000e+00
5.500000000000000028e-02 0.000000000000000000e+00
6.500000000000000222e-02 0.000000000000000000e+00
7.500000000000001110e-02 0.000000000000000000e+00
8.499999999999999223e-02 0.000000000000000000e+00
9.500000000000000111e-02 0.000000000000000000e+00
1.050000000000000100e-01 0.000000000000000000e+00
1.149999999999999911e-01 0.000000000000000000e+00
1.250000000000000000e-01 0.000000000000000000e+00
1.350000000000000089e-01 0.000000000000000000e+00
1.450000000000000178e-01 0.000000000000000000e+00
1.549999999999999989e-01 0.000000000000000000e+00
1.650000000000000078e-01 0.000000000000000000e+00
1.749999999999999889e-01 0.000000000000000000e+00
1.849999999999999978e-01 0.000000000000000000e+00
1.950000000000000067e-01 0.000000000000000000e+00
2.050000000000000155e-01 0.000000000000000000e+00
2.149999999999999967e-01 0.000000000000000000e+00
2.250000000000000056e-01 0.000000000000000000e+00
2.349999999999999867e-01 0.000000000000000000e+00
2.449999999999999956e-01 0.000000000000000000e+00
2.550000000000000044e-01 0.000000000000000000e+00
2.650000000000000133e-01 0.000000000000000000e+00
2.750000000000000222e-01 0.000000000000000000e+00
2.850000000000000311e-01 0.000000000000000000e+00
2.949999999999999845e-01 0.000000000000000000e+00
3.049999999999999933e-01 0.000000000000000000e+00
3.150000000000000022e-01 0.000000000000000000e+00
3.250000000000000111e-01 0.000000000000000000e+00
3.350000000000000200e-01 0.000000000000000000e+00
3.450000000000000289e-01 0.000000000000000000e+00
3.549999999999999822e-01 0.000000000000000000e+00
3.649999999999999911e-01 0.000000000000000000e+00
3.750000000000000000e-01 0.000000000000000000e+00
3.850000000000000089e-01 0.000000000000000000e+00
3.950000000000000178e-01 0.000000000000000000e+00
4.050000000000000266e-01 0.000000000000000000e+00
4.150000000000000355e-01 0.000000000000000000e+00
4.249999999999999889e-01 0.000000000000000000e+00
4.349999999999999978e-01 0.000000000000000000e+00
4.450000000000000067e-01 0.000000000000000000e+00
4.550000000000000155e-01 0.000000000000000000e+00
4.650000000000000244e-01 0.000000000000000000e+00
4.749999999999999778e-01 0.000000000000000000e+00
4.849999999999999867e-01 0.000000000000000000e+00
4.949999999999999956e-01 0.000000000000000000e+00
5.050000000000000044e-01 0.000000000000000000e+00
5.150000000000000133e-01 0.000000000000000000e+00
5.250000000000000222e-01 0.000000000000000000e+00
5.350000000000000311e-01 0.000000000000000000e+00
5.450000000000000400e-01 0.000000000000000000e+00
5.550000000000000488e-01 0.000000000000000000e+00
5.650000000000000577e-01 0.000000000000000000e+00
5.749999999999999556e-01 0.000000000000000000e+00
5.849999999999999645e-01 0.000000000000000000e+00
5.949999999999999734e-01 0.000000000000000000e+00
6.049999999999999822e-01 0.000000000000000000e+00
6.149999999999999911e-01 0.000000000000000000e+00
6.250000000000000000e-01 0.000000000000000000e+00
6.350000000000000089e-01 0.000000000000000000e+00
6.450000000000000178e-01 0.000000000000000000e+00
6.550000000000000266e-01 0.000000000000000000e+00
6.650000000000000355e-01 0.000000000000000000e+00
6.750000000000000444e-01 0.000000000000000000e+00
6.850000000000000533e-01 0.000000000000000000e+00
6.950000000000000622e-01 0.000000000000000000e+00
7.050000000000000711e-01 0.000000000000000000e+00
7.149999999999999689e-01 0.000000000000000000e+00
7.249999999999999778e-01 0.000000000000000000e+00
7.349999999999999867e-01 0.000000000000000000e+00
7.449999999999999956e-01 0.000000000000000000e+00
7.550000000000000044e-01 0.000000000000000000e+00
7.650000000000000133e-01 0.000000000000000000e+00
7.750000000000000222e-01 0.000000000000000000e+00
7.850000000000000311e-01 0.000000000000000000e+00
7.950000000000000400e-01 0.000000000000000000e+00
8.050000000000000488e-01 0.000000000000000000e+00
8.150000000000000577e-01 0.000000000000000000e+00
8.250000000000000666e-01 0.000000000000000000e+00
8.349999999999999645e-01 0.000000000000000000e+00
8.449999999999999734e-01 0.000000000000000000e+00
8.549999999999999822e-01 0.000000000000000000e+00
8.649999999999999911e-01 0.000000000000000000e+00
8.750000000000000000e-01 0.000000000000000000e+00
8.850000000000000089e-01 6.580335254016886608e-04
8.950000000000000178e-01 6.434110145535253816e-03
9.050000000000000266e-01 1.227077562307424541e-01
9.150000000000000355e-01 1.812300371529731668e+00
9.250000000000000444e-01 1.212114994364409526e+01
9.350000000000000533e-01 4.022944064173648826e+01
9.450000000000000622e-01 7.202191260060810407e+01
9.550000000000000711e-01 7.128664704267862362e+01
9.649999999999999689e-01 4.069366277470042093e+01
9.749999999999999778e-01 1.442084271158752529e+01
9.849999999999999867e-01 3.486297987541608911e+00
9.949999999999999956e-01 6.262590686528959338e-01
1.004999999999999893e+00 9.848265481648314779e-02
1.015000000000000124e+00 9.004818891785070639e-03
1.024999999999999911e+00 1.471662033359393473e-03
1.035000000000000142e+00 0.000000000000000000e+00
1.044999999999999929e+00 0.000000000000000000e+00
1.055000000000000160e+00 0.000000000000000000e+00
1.064999999999999947e+00 0.000000000000000000e+00
1.075000000000000178e+00 0.000000000000000000e+00
1.084999999999999964e+00 0.000000000000000000e+00
1.095000000000000195e+00 0.000000000000000000e+00
1.104999999999999982e+00 0.000000000000000000e+00
1.115000000000000213e+00 0.000000000000000000e+00
1.125000000000000000e+00 0.000000000000000000e+00
1.135000000000000231e+00 0.000000000000000000e+00
1.145000000000000018e+00 0.000000000000000000e+00
1.155000000000000027e+00 0.000000000000000000e+00
1.165000000000000036e+00 0.000000000000000000e+00
1.174999999999999822e+00 0.000000000000000000e+00
1.185000000000000053e+00 0.000000000000000000e+00
1.194999999999999840e+00 0.000000000000000000e+00
1.205000000000000071e+00 0.000000000000000000e+00
1.214999999999999858e+00 0.000000000000000000e+00
1.225000000000000089e+00 0.000000000000000000e+00
1.234999999999999876e+00 0.000000000000000000e+00
1.245000000000000107e+00 0.000000000000000000e+00
1.254999999999999893e+00 0.000000000000000000e+00
1.265000000000000124e+00 0.000000000000000000e+00
1.274999999999999911e+00 0.000000000000000000e+00
1.285000000000000142e+00 0.000000000000000000e+00
1.294999999999999929e+00 0.000000000000000000e+00
1.305000000000000160e+00 0.000000000000000000e+00
1.314999999999999947e+00 0.000000000000000000e+00
1.325000000000000178e+00 0.000000000000000000e+00
1.334999999999999964e+00 0.000000000000000000e+00
1.345000000000000195e+00 0.000000000000000000e+00
1.354999999999999982e+00 0.000000000000000000e+00
1.365000000000000213e+00 0.000000000000000000e+00
1.375000000000000000e+00 0.000000000000000000e+00
1.385000000000000231e+00 2.686797992585527543e-04
1.395000000000000018e+00 5.296831314425431330e-04
1.405000000000000027e+00 1.044339981373564475e-03
1.415000000000000036e+00 1.029631151209754389e-03
1.424999999999999822e+00 2.284269508843159244e-03
1.435000000000000053e+00 2.753109246080498104e-03
1.444999999999999840e+00 2.961966305572420136e-03
1.455000000000000071e+00 4.625537181054553172e-03
1.464999999999999858e+00 7.204113845464540228e-03
1.475000000000000089e+00 1.279217173380882942e-02
1.484999999999999876e+00 1.542501482776618450e-02
1.495000000000000107e+00 2.167604431524360400e-02
1.504999999999999893e+00 2.457453549375201995e-02
1.515000000000000124e+00 3.413130425373377824e-02
1.524999999999999911e+00 4.919804541190767044e-02
1.535000000000000142e+00 6.452675395607702924e-02
1.544999999999999929e+00 7.729664089815568850e-02
1.555000000000000160e+00 9.293092596589100363e-02
1.564999999999999947e+00 1.197341800829763575e-01
1.575000000000000178e+00 1.608105015227770662e-01
1.584999999999999964e+00 1.754050705181624537e-01
1.595000000000000195e+00 2.096783241950780086e-01
1.604999999999999982e+00 2.514894471410220045e-01
1.615000000000000213e+00 2.946233423603069612e-01
1.625000000000000000e+00 3.220414515840064884e-01
1.635000000000000231e+00 3.595653917251841469e-01
1.645000000000000018e+00 4.005364368705193745e-01
1.655000000000000249e+00 4.630737674254404301e-01
1.665000000000000036e+00 5.238984035402807216e-01
1.674999999999999822e+00 5.613817488233269204e-01
1.685000000000000053e+00 6.358795948501368978e-01
1.694999999999999840e+00 7.127114269513029621e-01
1.705000000000000071e+00 7.517122919943265424e-01
1.714999999999999858e+00 8.023742019138304649e-01
1.725000000000000089e+00 8.528534436499223270e-01
1.734999999999999876e+00 9.248902123438111911e-01
1.745000000000000107e+00 9.759292562590341502e-01
1.754999999999999893e+00 1.004497045485093221e+00
1.765000000000000124e+00 1.059985358657897780e+00
1.774999999999999911e+00 1.073267268667865038e+00
1.785000000000000142e+00 1.102037847906453871e+00
1.794999999999999929e+00 1.158255053185792693e+00
1.805000000000000160e+00 1.161433984343938519e+00
1.814999999999999947e+00 1.215319650607200819e+00
1.825000000000000178e+00 1.220916119223659280e+00
1.834999999999999964e+00 1.209941294154174507e+00
1.845000000000000195e+00 1.212758527490611193e+00
1.854999999999999982e+00 1.214246630701812713e+00
1.865000000000000213e+00 1.198148440064721321e+00
1.875000000000000000e+00 1.210617357342875788e+00
1.885000000000000231e+00 1.178950437103558402e+00
1.895000000000000018e+00 1.176012919765485387e+00
1.905000000000000249e+00 1.141401845083848121e+00
1.915000000000000036e+00 1.114193567422436359e+00
1.924999999999999822e+00 1.080672532335941405e+00
1.935000000000000053e+00 1.078065882186354019e+00
1.944999999999999840e+00 1.047663202860872778e+00
1.955000000000000071e+00 1.014723089774099085e+00
1.964999999999999858e+00 9.679819251994414842e-01
1.975000000000000089e+00 9.464448517153531970e-01
1.984999999999999876e+00 9.148274085062573224e-01
1.995000000000000107e+00 8.853486752812174121e-01
2.004999999999999893e+00 8.467956726377900978e-01
2.015000000000000124e+00 8.076931212866302889e-01
2.025000000000000355e+00 7.842763094650891942e-01
2.035000000000000142e+00 7.302908175598534779e-01
2.044999999999999929e+00 7.158949745114564500e-01
2.054999999999999716e+00 6.866108110725328562e-01
2.064999999999999947e+00 6.647481532119100534e-01
2.075000000000000178e+00 6.176579866878618708e-01
2.084999999999999964e+00 5.952681754752228160e-01
2.094999999999999751e+00 5.644696934359386686e-01
2.104999999999999982e+00 5.549320117009250986e-01
2.115000000000000213e+00 5.174362771660097060e-01
2.125000000000000000e+00 4.919194147410600459e-01
2.134999999999999787e+00 4.673090680442507638e-01
2.145000000000000018e+00 4.399987553990238887e-01
2.155000000000000249e+00 4.313745841020559801e-01
2.165000000000000036e+00 4.044180077928004602e-01
2.174999999999999822e+00 3.965677771700706900e-01
2.185000000000000053e+00 3.749181476470836438e-01
2.195000000000000284e+00 3.596360523803557308e-01
2.205000000000000071e+00 3.449331408236543939e-01
2.214999999999999858e+00 3.253331409928588158e-01
2.225000000000000089e+00 3.136704904534959870e-01
2.235000000000000320e+00 3.006554318005689730e-01
2.245000000000000107e+00 2.873480082521401857e-01
2.254999999999999893e+00 2.788252240889594891e-01
2.265000000000000124e+00 2.569796240305138313e-01
2.275000000000000355e+00 2.559203866947731831e-01
