r(A),g(r)
7.550000000000000044e-01,0.000000000000000000e+00
7.650000000000000133e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
7.850000000000000311e-01,0.000000000000000000e+00
7.950000000000000400e-01,0.000000000000000000e+00
8.050000000000000488e-01,0.000000000000000000e+00
8.150000000000000577e-01,0.000000000000000000e+00
8.249999999999999556e-01,0.000000000000000000e+00
8.349999999999999645e-01,0.000000000000000000e+00
8.449999999999999734e-01,0.000000000000000000e+00
8.549999999999999822e-01,7.910888731305046502e-04
8.649999999999999911e-01,5.410324707623495599e-03
8.750000000000000000e-01,1.926112190530062523e-02
8.850000000000000089e-01,9.118804854263849735e-02
8.950000000000000178e-01,3.133294125282213849e-01
9.050000000000000266e-01,8.600181869404676105e-01
9.150000000000000355e-01,2.182051233126145462e+00
9.250000000000000444e-01,4.719380398948937128e+00
9.349999999999999423e-01,8.711382465487844229e+00
9.449999999999999512e-01,1.393787913767804021e+01
9.549999999999999600e-01,1.986064345211582349e+01
9.649999999999999689e-01,2.504682246078500896e+01
9.749999999999999778e-01,2.836306412218316453e+01
9.849999999999999867e-01,2.910885545991947154e+01
9.949999999999999956e-01,2.728950049131006139e+01
1.004999999999999893e+00,2.362950311186083496e+01
1.015000000000000124e+00,1.918741805990864080e+01
1.024999999999999911e+00,1.437115574410803909e+01
1.035000000000000142e+00,1.004426475326972401e+01
1.044999999999999929e+00,6.544449420048669808e+00
1.055000000000000160e+00,4.002586011005977440e+00
1.064999999999999947e+00,2.310724617648517221e+00
1.075000000000000178e+00,1.258823664877889437e+00
1.084999999999999964e+00,6.211791396128584219e-01
1.095000000000000195e+00,3.019281461342524508e-01
1.104999999999999982e+00,1.285886933968441725e-01
1.114999999999999991e+00,5.698280968957978448e-02
1.125000000000000000e+00,2.261818018944888181e-02
1.135000000000000009e+00,9.651709511013125548e-03
1.145000000000000018e+00,3.308322172423640295e-03
1.155000000000000027e+00,6.502566407828494054e-04
1.165000000000000036e+00,0.000000000000000000e+00
1.174999999999999822e+00,0.000000000000000000e+00
1.185000000000000053e+00,0.000000000000000000e+00
1.194999999999999840e+00,0.000000000000000000e+00
1.205000000000000071e+00,0.000000000000000000e+00
1.214999999999999858e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00
1.234999999999999876e+00,0.000000000000000000e+00
1.245000000000000107e+00,0.000000000000000000e+00
1.254999999999999893e+00,0.000000000000000000e+00
