r(A), g(r)
2.004999999999999893e+00 0.000000000000000000e+00
2.014999999999999680e+00 0.000000000000000000e+00
2.024999999999999911e+00 0.000000000000000000e+00
2.035000000000000142e+00 0.000000000000000000e+00
2.044999999999999929e+00 0.000000000000000000e+00
2.054999999999999716e+00 0.000000000000000000e+00
2.064999999999999947e+00 0.000000000000000000e+00
2.075000000000000178e+00 0.000000000000000000e+00
2.084999999999999964e+00 0.000000000000000000e+00
2.094999999999999751e+00 0.000000000000000000e+00
2.104999999999999982e+00 0.000000000000000000e+00
2.115000000000000213e+00 0.000000000000000000e+00
2.125000000000000000e+00 0.000000000000000000e+00
2.134999999999999787e+00 0.000000000000000000e+00
2.145000000000000018e+00 0.000000000000000000e+00
2.155000000000000249e+00 0.000000000000000000e+00
2.165000000000000036e+00 0.000000000000000000e+00
2.174999999999999822e+00 0.000000000000000000e+00
2.185000000000000053e+00 0.000000000000000000e+00
2.195000000000000284e+00 0.000000000000000000e+00
2.205000000000000071e+00 0.000000000000000000e+00
2.214999999999999858e+00 0.000000000000000000e+00
2.225000000000000089e+00 0.000000000000000000e+00
2.235000000000000320e+00 0.000000000000000000e+00
2.245000000000000107e+00 0.000000000000000000e+00
2.254999999999999893e+00 0.000000000000000000e+00
2.264999999999999680e+00 0.000000000000000000e+00
2.275000000000000355e+00 0.000000000000000000e+00
2.285000000000000142e+00 0.000000000000000000e+00
2.294999999999999929e+00 0.000000000000000000e+00
2.304999999999999716e+00 0.000000000000000000e+00
2.314999999999999947e+00 0.000000000000000000e+00
2.325000000000000178e+00 0.000000000000000000e+00
2.334999999999999964e+00 0.000000000000000000e+00
2.344999999999999751e+00 0.000000000000000000e+00
2.354999999999999982e+00 1.473655209061606932e-03
2.365000000000000213e+00 0.000000000000000000e+00
2.375000000000000000e+00 1.448940255882264936e-03
2.384999999999999787e+00 3.352569000924500182e-03
2.395000000000000018e+00 5.699367510313082912e-03
2.405000000000000249e+00 6.123075897312952633e-03
2.415000000000000036e+00 1.167783111767792606e-02
2.424999999999999822e+00 1.389806122790672796e-02
2.435000000000000053e+00 2.573040059067923518e-02
2.445000000000000284e+00 3.372332939846946903e-02
2.455000000000000071e+00 5.198179823633983926e-02
2.464999999999999858e+00 6.411485169435156284e-02
2.475000000000000089e+00 1.054033444482866538e-01
2.485000000000000320e+00 1.341149676745442554e-01
2.495000000000000107e+00 2.056900149794778643e-01
2.504999999999999893e+00 2.513735364801460981e-01
2.514999999999999680e+00 3.152764662006426466e-01
2.525000000000000355e+00 4.131998554922490796e-01
2.535000000000000142e+00 4.917660166878501937e-01
2.544999999999999929e+00 6.347023674156665463e-01
2.554999999999999716e+00 7.294845044609538087e-01
2.565000000000000391e+00 8.695629107661050350e-01
2.575000000000000178e+00 1.044014787492582474e+00
2.584999999999999964e+00 1.205146341363389162e+00
2.594999999999999751e+00 1.436588546874431493e+00
2.604999999999999982e+00 1.611455676638154477e+00
2.615000000000000213e+00 1.780025524292965455e+00
2.625000000000000000e+00 2.070524673726384268e+00
2.634999999999999787e+00 2.247884718607413568e+00
2.645000000000000018e+00 2.466511576107603076e+00
2.655000000000000249e+00 2.579756236303583972e+00
2.665000000000000036e+00 2.821270333348494752e+00
2.674999999999999822e+00 2.892731789656910024e+00
2.685000000000000053e+00 3.060926424581966732e+00
2.695000000000000284e+00 3.133526585318701763e+00
2.705000000000000071e+00 3.200503597690108393e+00
2.714999999999999858e+00 3.273802378480483277e+00
2.724999999999999645e+00 3.378960140953281677e+00
2.735000000000000320e+00 3.368500141221296040e+00
2.745000000000000107e+00 3.335686324778484035e+00
2.754999999999999893e+00 3.291414522998505898e+00
2.764999999999999680e+00 3.276558407831298148e+00
2.775000000000000355e+00 3.209825240054068551e+00
2.785000000000000142e+00 3.140100670092857538e+00
2.794999999999999929e+00 3.089075359758167938e+00
2.804999999999999716e+00 2.989875211261953769e+00
2.815000000000000391e+00 2.846623237112408500e+00
2.825000000000000178e+00 2.742188558394226483e+00
2.834999999999999964e+00 2.740842388964644272e+00
2.844999999999999751e+00 2.558702394734161611e+00
2.854999999999999982e+00 2.473629381859602017e+00
2.865000000000000213e+00 2.378395108506814459e+00
2.875000000000000000e+00 2.263988779441433508e+00
2.884999999999999787e+00 2.174675394184093946e+00
2.895000000000000018e+00 2.061185453574410964e+00
2.905000000000000249e+00 1.920795564000722599e+00
2.915000000000000036e+00 1.848967532107271383e+00
2.924999999999999822e+00 1.757059251854871107e+00
