r(A), g(r)
2.004999999999999893e+00 0.000000000000000000e+00
2.014999999999999680e+00 0.000000000000000000e+00
2.024999999999999911e+00 0.000000000000000000e+00
2.035000000000000142e+00 0.000000000000000000e+00
2.044999999999999929e+00 0.000000000000000000e+00
2.054999999999999716e+00 0.000000000000000000e+00
2.064999999999999947e+00 0.000000000000000000e+00
2.075000000000000178e+00 0.000000000000000000e+00
2.084999999999999964e+00 0.000000000000000000e+00
2.094999999999999751e+00 0.000000000000000000e+00
2.104999999999999982e+00 0.000000000000000000e+00
2.115000000000000213e+00 0.000000000000000000e+00
2.125000000000000000e+00 0.000000000000000000e+00
2.134999999999999787e+00 0.000000000000000000e+00
2.145000000000000018e+00 0.000000000000000000e+00
2.155000000000000249e+00 0.000000000000000000e+00
2.165000000000000036e+00 0.000000000000000000e+00
2.174999999999999822e+00 0.000000000000000000e+00
2.185000000000000053e+00 0.000000000000000000e+00
2.195000000000000284e+00 0.000000000000000000e+00
2.205000000000000071e+00 0.000000000000000000e+00
2.214999999999999858e+00 0.000000000000000000e+00
2.225000000000000089e+00 0.000000000000000000e+00
2.235000000000000320e+00 0.000000000000000000e+00
2.245000000000000107e+00 0.000000000000000000e+00
2.254999999999999893e+00 3.549883448071276576e-04
2.264999999999999680e+00 0.000000000000000000e+00
2.275000000000000355e+00 0.000000000000000000e+00
2.285000000000000142e+00 0.000000000000000000e+00
2.294999999999999929e+00 3.427218606429367873e-04
2.304999999999999716e+00 1.359018343074135321e-03
2.314999999999999947e+00 6.736513611773583578e-04
2.325000000000000178e+00 1.335737945605079300e-03
2.334999999999999964e+00 1.986482151473423566e-03
2.344999999999999751e+00 3.939151994514368538e-03
2.354999999999999982e+00 7.811539001946211577e-03
2.365000000000000213e+00 1.000475805097037450e-02
2.375000000000000000e+00 1.408097201184727379e-02
2.384999999999999787e+00 2.221408656719811581e-02
2.395000000000000018e+00 3.084055798034016430e-02
2.405000000000000249e+00 5.555165827143031254e-02
2.415000000000000036e+00 8.263883343837294393e-02
2.424999999999999822e+00 1.089712804096106685e-01
2.435000000000000053e+00 1.461337378604075088e-01
2.445000000000000284e+00 1.890269787498534415e-01
2.455000000000000071e+00 2.399035695140378788e-01
2.464999999999999858e+00 3.217375838651880815e-01
2.475000000000000089e+00 4.199249164738831919e-01
2.485000000000000320e+00 5.328942929982908305e-01
2.495000000000000107e+00 6.646311623900569288e-01
2.504999999999999893e+00 8.184157847833910537e-01
2.514999999999999680e+00 1.001701500621014151e+00
2.525000000000000355e+00 1.194521434584849384e+00
2.535000000000000142e+00 1.391577062473518422e+00
2.544999999999999929e+00 1.602783935666763915e+00
2.554999999999999716e+00 1.786590905002593876e+00
2.565000000000000391e+00 2.001509906675275285e+00
2.575000000000000178e+00 2.274024824366567721e+00
2.584999999999999964e+00 2.460959512641611280e+00
2.594999999999999751e+00 2.704460136492714106e+00
2.604999999999999982e+00 2.914363741045336909e+00
2.615000000000000213e+00 3.117287965297466545e+00
2.625000000000000000e+00 3.339570576465547003e+00
2.634999999999999787e+00 3.383686510779649215e+00
2.645000000000000018e+00 3.557083893584826129e+00
2.655000000000000249e+00 3.668366903274888902e+00
2.665000000000000036e+00 3.725016632903459968e+00
2.674999999999999822e+00 3.767852723679284477e+00
2.685000000000000053e+00 3.776646513773858960e+00
2.695000000000000284e+00 3.781478228633981420e+00
2.705000000000000071e+00 3.773553596547313482e+00
2.714999999999999858e+00 3.698788475461061598e+00
2.724999999999999645e+00 3.542122133010795260e+00
2.735000000000000320e+00 3.517473911142852128e+00
2.745000000000000107e+00 3.405409577734839210e+00
2.754999999999999893e+00 3.262531990773309687e+00
2.764999999999999680e+00 3.109586845129636679e+00
2.775000000000000355e+00 2.995560407928907320e+00
2.785000000000000142e+00 2.839567617346452799e+00
2.794999999999999929e+00 2.703287916975491090e+00
2.804999999999999716e+00 2.562910895244810305e+00
2.815000000000000391e+00 2.422178819685975260e+00
2.825000000000000178e+00 2.256002862021365907e+00
2.834999999999999964e+00 2.084021691332832660e+00
2.844999999999999751e+00 1.963239787953380944e+00
2.854999999999999982e+00 1.866684904202549733e+00
2.865000000000000213e+00 1.720847084237293600e+00
2.875000000000000000e+00 1.593150429126127143e+00
2.884999999999999787e+00 1.467179845970477459e+00
2.895000000000000018e+00 1.404292726069266584e+00
2.905000000000000249e+00 1.260952487339666916e+00
2.915000000000000036e+00 1.167341069731646197e+00
2.924999999999999822e+00 1.121817230303698398e+00
