r(A), g(r)
2.004999999999999893e+00 0.000000000000000000e+00
2.014999999999999680e+00 0.000000000000000000e+00
2.024999999999999911e+00 0.000000000000000000e+00
2.035000000000000142e+00 0.000000000000000000e+00
2.044999999999999929e+00 0.000000000000000000e+00
2.054999999999999716e+00 0.000000000000000000e+00
2.064999999999999947e+00 0.000000000000000000e+00
2.075000000000000178e+00 0.000000000000000000e+00
2.084999999999999964e+00 0.000000000000000000e+00
2.094999999999999751e+00 0.000000000000000000e+00
2.104999999999999982e+00 0.000000000000000000e+00
2.115000000000000213e+00 0.000000000000000000e+00
2.125000000000000000e+00 0.000000000000000000e+00
2.134999999999999787e+00 0.000000000000000000e+00
2.145000000000000018e+00 0.000000000000000000e+00
2.155000000000000249e+00 0.000000000000000000e+00
2.165000000000000036e+00 0.000000000000000000e+00
2.174999999999999822e+00 0.000000000000000000e+00
2.185000000000000053e+00 0.000000000000000000e+00
2.195000000000000284e+00 0.000000000000000000e+00
2.205000000000000071e+00 0.000000000000000000e+00
2.214999999999999858e+00 0.000000000000000000e+00
2.225000000000000089e+00 0.000000000000000000e+00
2.235000000000000320e+00 0.000000000000000000e+00
2.245000000000000107e+00 0.000000000000000000e+00
2.254999999999999893e+00 0.000000000000000000e+00
2.264999999999999680e+00 0.000000000000000000e+00
2.275000000000000355e+00 0.000000000000000000e+00
2.285000000000000142e+00 0.000000000000000000e+00
2.294999999999999929e+00 0.000000000000000000e+00
2.304999999999999716e+00 0.000000000000000000e+00
2.314999999999999947e+00 0.000000000000000000e+00
2.325000000000000178e+00 0.000000000000000000e+00
2.334999999999999964e+00 4.106523742206125713e-04
2.344999999999999751e+00 4.071574762862469922e-04
2.354999999999999982e+00 4.037070047529498808e-04
2.365000000000000213e+00 4.003002098136546495e-04
2.375000000000000000e+00 1.587745429653614117e-03
2.384999999999999787e+00 3.936147288539006573e-04
2.395000000000000018e+00 4.293680824505606390e-03
2.405000000000000249e+00 3.483858086594508741e-03
2.415000000000000036e+00 6.526235767240571445e-03
2.424999999999999822e+00 1.370651743262990725e-02
2.435000000000000053e+00 1.585986430325533533e-02
2.445000000000000284e+00 2.284652834391520324e-02
2.455000000000000071e+00 2.934757399243629120e-02
2.464999999999999858e+00 4.016435144729050416e-02
2.475000000000000089e+00 6.396401994590286688e-02
2.485000000000000320e+00 7.686545152596309383e-02
2.495000000000000107e+00 1.186918633325236561e-01
2.504999999999999893e+00 1.366568549155416923e-01
2.514999999999999680e+00 1.900843730832948997e-01
2.525000000000000355e+00 2.398534925324011524e-01
2.535000000000000142e+00 2.975432149425006889e-01
2.544999999999999929e+00 3.359996302447496586e-01
2.554999999999999716e+00 4.414127219966251237e-01
2.565000000000000391e+00 5.387090653167158072e-01
2.575000000000000178e+00 6.297562368600598814e-01
2.584999999999999964e+00 7.294330586044541764e-01
2.594999999999999751e+00 8.647961265115560181e-01
2.604999999999999982e+00 9.657292267283694720e-01
2.615000000000000213e+00 1.104059012911968951e+00
2.625000000000000000e+00 1.240906760941508757e+00
2.634999999999999787e+00 1.424341958664958163e+00
2.645000000000000018e+00 1.551847136749598732e+00
2.655000000000000249e+00 1.698040371253186853e+00
2.665000000000000036e+00 1.809529108066947778e+00
2.674999999999999822e+00 1.945589675109511862e+00
2.685000000000000053e+00 2.088893943884574167e+00
2.695000000000000284e+00 2.243585476912522747e+00
2.705000000000000071e+00 2.299242400529837305e+00
2.714999999999999858e+00 2.393506755166968425e+00
2.724999999999999645e+00 2.476679407384740905e+00
2.735000000000000320e+00 2.523553613436213539e+00
2.745000000000000107e+00 2.542640394668406856e+00
2.754999999999999893e+00 2.592062851212526997e+00
2.764999999999999680e+00 2.637190810606619529e+00
2.775000000000000355e+00 2.657760495829979419e+00
2.785000000000000142e+00 2.669307252838906575e+00
2.794999999999999929e+00 2.640782852780975354e+00
2.804999999999999716e+00 2.611458378345011155e+00
2.815000000000000391e+00 2.532472312572713324e+00
2.825000000000000178e+00 2.531688624474855764e+00
2.834999999999999964e+00 2.514417036599289279e+00
2.844999999999999751e+00 2.458321880199018317e+00
2.854999999999999982e+00 2.390039350406280239e+00
2.865000000000000213e+00 2.343651990506173455e+00
2.875000000000000000e+00 2.301643347160585940e+00
2.884999999999999787e+00 2.239715623241860687e+00
2.895000000000000018e+00 2.158016796427711714e+00
2.905000000000000249e+00 2.127531739977010616e+00
2.915000000000000036e+00 2.053146473930554272e+00
2.924999999999999822e+00 2.001447701440341564e+00
