r(A),g(r)
2.004999999999999893e+00,0.000000000000000000e+00
2.014999999999999680e+00,0.000000000000000000e+00
2.024999999999999911e+00,0.000000000000000000e+00
2.035000000000000142e+00,0.000000000000000000e+00
2.044999999999999929e+00,0.000000000000000000e+00
2.054999999999999716e+00,0.000000000000000000e+00
2.064999999999999947e+00,0.000000000000000000e+00
2.075000000000000178e+00,0.000000000000000000e+00
2.084999999999999964e+00,0.000000000000000000e+00
2.094999999999999751e+00,0.000000000000000000e+00
2.104999999999999982e+00,0.000000000000000000e+00
2.115000000000000213e+00,0.000000000000000000e+00
2.125000000000000000e+00,0.000000000000000000e+00
2.134999999999999787e+00,0.000000000000000000e+00
2.145000000000000018e+00,0.000000000000000000e+00
2.155000000000000249e+00,0.000000000000000000e+00
2.165000000000000036e+00,0.000000000000000000e+00
2.174999999999999822e+00,0.000000000000000000e+00
2.185000000000000053e+00,0.000000000000000000e+00
2.195000000000000284e+00,0.000000000000000000e+00
2.205000000000000071e+00,0.000000000000000000e+00
2.214999999999999858e+00,0.000000000000000000e+00
2.225000000000000089e+00,0.000000000000000000e+00
2.235000000000000320e+00,0.000000000000000000e+00
2.245000000000000107e+00,0.000000000000000000e+00
2.254999999999999893e+00,0.000000000000000000e+00
2.264999999999999680e+00,0.000000000000000000e+00
2.275000000000000355e+00,0.000000000000000000e+00
2.285000000000000142e+00,0.000000000000000000e+00
2.294999999999999929e+00,0.000000000000000000e+00
2.304999999999999716e+00,0.000000000000000000e+00
2.314999999999999947e+00,0.000000000000000000e+00
2.325000000000000178e+00,0.000000000000000000e+00
2.334999999999999964e+00,0.000000000000000000e+00
2.344999999999999751e+00,0.000000000000000000e+00
2.354999999999999982e+00,0.000000000000000000e+00
2.365000000000000213e+00,0.000000000000000000e+00
2.375000000000000000e+00,0.000000000000000000e+00
2.384999999999999787e+00,4.074645129290480994e-04
2.395000000000000018e+00,8.081379802409629489e-04
2.405000000000000249e+00,6.010736024798908833e-04
2.415000000000000036e+00,2.384424293358881897e-03
2.424999999999999822e+00,1.182399742742906452e-03
2.435000000000000053e+00,6.058991242593327921e-03
2.445000000000000284e+00,1.085592569679172566e-02
2.455000000000000071e+00,1.499782120252986066e-02
2.464999999999999858e+00,2.269601847015575644e-02
2.475000000000000089e+00,3.083711638698916416e-02
2.485000000000000320e+00,5.292159004681976781e-02
2.495000000000000107e+00,7.092844485526347831e-02
2.504999999999999893e+00,1.113623568767190819e-01
2.514999999999999680e+00,1.548165168473991382e-01
2.525000000000000355e+00,2.188468420102518408e-01
2.535000000000000142e+00,2.885364056261128796e-01
2.544999999999999929e+00,3.866479888984262203e-01
2.554999999999999716e+00,5.203200622671215747e-01
2.565000000000000391e+00,6.816678133401788964e-01
2.575000000000000178e+00,8.530822445562467049e-01
2.584999999999999964e+00,1.115826120801472587e+00
2.594999999999999751e+00,1.397390759013619421e+00
2.604999999999999982e+00,1.757432627408062276e+00
2.615000000000000213e+00,2.064993596075395121e+00
2.625000000000000000e+00,2.476471019163513088e+00
2.634999999999999787e+00,2.808382172815476974e+00
2.645000000000000018e+00,3.162213130790404669e+00
2.655000000000000249e+00,3.353639600009218125e+00
2.665000000000000036e+00,3.517796786543283094e+00
2.674999999999999822e+00,3.580132952824405912e+00
2.685000000000000053e+00,3.654947505677969222e+00
2.695000000000000284e+00,3.563571974634053952e+00
2.705000000000000071e+00,3.483106470224983209e+00
2.714999999999999858e+00,3.363165847139547360e+00
2.724999999999999645e+00,3.222883711460788891e+00
2.735000000000000320e+00,3.056208260967045121e+00
2.745000000000000107e+00,2.900330541460374612e+00
2.754999999999999893e+00,2.755487048130318861e+00
2.764999999999999680e+00,2.586587254332525898e+00
2.775000000000000355e+00,2.510942676587717415e+00
2.785000000000000142e+00,2.363850974249222858e+00
2.794999999999999929e+00,2.264634898785294226e+00
2.804999999999999716e+00,2.147476177797736696e+00
2.815000000000000391e+00,2.057368676126527518e+00
2.825000000000000178e+00,1.957154495795412785e+00
2.834999999999999964e+00,1.863491366156702522e+00
2.844999999999999751e+00,1.785984807783672856e+00
2.854999999999999982e+00,1.744065142299767279e+00
2.865000000000000213e+00,1.706215819141151391e+00
2.875000000000000000e+00,1.642351394937469511e+00
2.884999999999999787e+00,1.581418414041202203e+00
2.895000000000000018e+00,1.518521220417023976e+00
2.905000000000000249e+00,1.506711446191983717e+00
2.915000000000000036e+00,1.457931599587327876e+00
2.924999999999999822e+00,1.436195569434086661e+00
