bin_index  r_left_A  r_right_A  r_center_A  shell_volume_A3  counts  normalization  g_r
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-02 1.000000000000000021e-02 3.351032163829112431e-05 0.000000000000000000e+00 4.832958773217087278e-02 0.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000042e-02 4.000000000000000083e-02 2.999999999999999889e-02 2.345722514680378566e-04 0.000000000000000000e+00 3.383071141251955405e-01 0.000000000000000000e+00
2.000000000000000000e+00 4.000000000000000083e-02 5.999999999999999778e-02 5.000000000000000278e-02 6.366961111275311856e-04 0.000000000000000000e+00 9.182621669112364104e-01 0.000000000000000000e+00
3.000000000000000000e+00 5.999999999999999778e-02 8.000000000000000167e-02 7.000000000000000666e-02 1.239881900616771667e-03 0.000000000000000000e+00 1.788194746090309151e+00 0.000000000000000000e+00
4.000000000000000000e+00 8.000000000000000167e-02 1.000000000000000056e-01 8.999999999999999667e-02 2.044129619935759843e-03 0.000000000000000000e+00 2.948104851662427084e+00 0.000000000000000000e+00
5.000000000000000000e+00 1.000000000000000056e-01 1.199999999999999956e-01 1.100000000000000006e-01 3.049439269084490076e-03 0.000000000000000000e+00 4.397992483627568561e+00 0.000000000000000000e+00
6.000000000000000000e+00 1.199999999999999956e-01 1.400000000000000133e-01 1.300000000000000044e-01 4.255810848062977110e-03 0.000000000000000000e+00 6.137857641985737800e+00 0.000000000000000000e+00
7.000000000000000000e+00 1.400000000000000133e-01 1.600000000000000033e-01 1.500000000000000222e-01 5.663244356871196226e-03 0.000000000000000000e+00 8.167700326736897054e+00 0.000000000000000000e+00
8.000000000000000000e+00 1.600000000000000033e-01 1.799999999999999933e-01 1.699999999999999845e-01 7.271739795509172578e-03 0.000000000000000000e+00 1.048752053788103389e+01 0.000000000000000000e+00
9.000000000000000000e+00 1.799999999999999933e-01 2.000000000000000111e-01 1.900000000000000022e-01 9.081297163976905298e-03 0.000000000000000000e+00 1.309731827541840765e+01 0.000000000000000000e+00
1.000000000000000000e+01 2.000000000000000111e-01 2.200000000000000011e-01 2.100000000000000200e-01 1.109191646227435275e-02 0.000000000000000000e+00 1.599709353934849076e+01 0.000000000000000000e+00
1.100000000000000000e+01 2.200000000000000011e-01 2.399999999999999911e-01 2.299999999999999822e-01 1.330359769040156959e-02 0.000000000000000000e+00 1.918684632967196535e+01 0.000000000000000000e+00
1.200000000000000000e+01 2.399999999999999911e-01 2.600000000000000089e-01 2.500000000000000000e-01 1.571634084835855233e-02 0.000000000000000000e+00 2.266657664638839620e+01 0.000000000000000000e+00
1.300000000000000000e+01 2.600000000000000089e-01 2.800000000000000266e-01 2.700000000000000178e-01 1.833014593614526455e-02 0.000000000000000000e+00 2.643628448949751331e+01 0.000000000000000000e+00
1.400000000000000000e+01 2.800000000000000266e-01 2.999999999999999889e-01 2.900000000000000355e-01 2.114501295376165768e-02 0.000000000000000000e+00 3.049596985899977497e+01 0.000000000000000000e+00
1.500000000000000000e+01 2.999999999999999889e-01 3.200000000000000067e-01 3.099999999999999978e-01 2.416094190120790866e-02 0.000000000000000000e+00 3.484563275489500711e+01 0.000000000000000000e+00
1.600000000000000000e+01 3.200000000000000067e-01 3.400000000000000244e-01 3.300000000000000155e-01 2.737793277848387871e-02 0.000000000000000000e+00 3.948527317718348684e+01 0.000000000000000000e+00
1.700000000000000000e+01 3.400000000000000244e-01 3.599999999999999867e-01 3.499999999999999778e-01 3.079598558558950191e-02 0.000000000000000000e+00 4.441489112586515375e+01 0.000000000000000000e+00
1.800000000000000000e+01 3.599999999999999867e-01 3.800000000000000044e-01 3.699999999999999956e-01 3.441510032252501766e-02 0.000000000000000000e+00 4.963448660093906994e+01 0.000000000000000000e+00
1.900000000000000000e+01 3.800000000000000044e-01 4.000000000000000222e-01 3.900000000000000133e-01 3.823527698929021779e-02 0.000000000000000000e+00 5.514405960240743809e+01 0.000000000000000000e+00
2.000000000000000000e+01 4.000000000000000222e-01 4.199999999999999845e-01 4.100000000000000311e-01 4.225651558588498780e-02 0.000000000000000000e+00 6.094361013026826157e+01 0.000000000000000000e+00
2.100000000000000000e+01 4.199999999999999845e-01 4.400000000000000022e-01 4.299999999999999933e-01 4.647881611230982729e-02 0.000000000000000000e+00 6.703313818452110695e+01 0.000000000000000000e+00
2.200000000000000000e+01 4.400000000000000022e-01 4.600000000000000200e-01 4.500000000000000111e-01 5.090217856856425749e-02 0.000000000000000000e+00 7.341264376516679135e+01 0.000000000000000000e+00
2.300000000000000000e+01 4.600000000000000200e-01 4.799999999999999822e-01 4.699999999999999734e-01 5.552660295464829227e-02 0.000000000000000000e+00 8.008212687220766668e+01 0.000000000000000000e+00
2.400000000000000000e+01 4.799999999999999822e-01 5.000000000000000000e-01 4.899999999999999911e-01 6.035208927056238959e-02 0.000000000000000000e+00 8.704158750564013758e+01 0.000000000000000000e+00
2.500000000000000000e+01 5.000000000000000000e-01 5.200000000000000178e-01 5.100000000000000089e-01 6.537863751630602904e-02 0.000000000000000000e+00 9.429102566546505670e+01 0.000000000000000000e+00
2.600000000000000000e+01 5.200000000000000178e-01 5.400000000000000355e-01 5.300000000000000266e-01 7.060624769187943961e-02 0.000000000000000000e+00 1.018304413516840583e+02 0.000000000000000000e+00
2.700000000000000000e+01 5.400000000000000355e-01 5.600000000000000533e-01 5.500000000000000444e-01 7.603491979728267680e-02 0.000000000000000000e+00 1.096598345642960339e+02 0.000000000000000000e+00
2.800000000000000000e+01 5.600000000000000533e-01 5.799999999999999600e-01 5.700000000000000622e-01 8.166465383251506061e-02 0.000000000000000000e+00 1.177792053032998894e+02 0.000000000000000000e+00
2.900000000000000000e+01 5.799999999999999600e-01 5.999999999999999778e-01 5.899999999999999689e-01 8.749544979757820085e-02 0.000000000000000000e+00 1.261885535686980404e+02 0.000000000000000000e+00
3.000000000000000000e+01 5.999999999999999778e-01 6.199999999999999956e-01 6.099999999999999867e-01 9.352730769247058484e-02 0.000000000000000000e+00 1.348878793604895066e+02 0.000000000000000000e+00
3.100000000000000000e+01 6.199999999999999956e-01 6.400000000000000133e-01 6.300000000000000044e-01 9.976022751719269832e-02 0.000000000000000000e+00 1.438771826786729378e+02 0.000000000000000000e+00
3.200000000000000000e+01 6.400000000000000133e-01 6.600000000000000311e-01 6.500000000000000222e-01 1.061942092717447494e-01 0.000000000000000000e+00 1.531564635232502383e+02 0.000000000000000000e+00
3.300000000000000000e+01 6.600000000000000311e-01 6.800000000000000488e-01 6.700000000000000400e-01 1.128292529561262802e-01 0.000000000000000000e+00 1.627257218942182533e+02 0.000000000000000000e+00
3.400000000000000000e+01 6.800000000000000488e-01 7.000000000000000666e-01 6.900000000000000577e-01 1.196653585703377626e-01 0.000000000000000000e+00 1.725849577915810755e+02 0.000000000000000000e+00
