bin_index  r_left_A  r_right_A  r_center_A  shell_volume_A3  counts  normalization  g_r
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-02 1.000000000000000021e-02 3.351032163829113108e-05 0.000000000000000000e+00 1.126471426770044373e-02 0.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000042e-02 4.000000000000000083e-02 2.999999999999999889e-02 2.345722514680378837e-04 0.000000000000000000e+00 7.885299987390299858e-02 0.000000000000000000e+00
2.000000000000000000e+00 4.000000000000000083e-02 5.999999999999999778e-02 5.000000000000000278e-02 6.366961111275311856e-04 0.000000000000000000e+00 2.140295710863082401e-01 0.000000000000000000e+00
3.000000000000000000e+00 5.999999999999999778e-02 8.000000000000000167e-02 7.000000000000000666e-02 1.239881900616772318e-03 0.000000000000000000e+00 4.167944279049169420e-01 0.000000000000000000e+00
4.000000000000000000e+00 8.000000000000000167e-02 1.000000000000000056e-01 8.999999999999999667e-02 2.044129619935759409e-03 0.000000000000000000e+00 6.871475703297260651e-01 0.000000000000000000e+00
5.000000000000000000e+00 1.000000000000000056e-01 1.199999999999999956e-01 1.100000000000000006e-01 3.049439269084490076e-03 0.000000000000000000e+00 1.025088998360740966e+00 0.000000000000000000e+00
6.000000000000000000e+00 1.199999999999999956e-01 1.400000000000000133e-01 1.300000000000000044e-01 4.255810848062977110e-03 0.000000000000000000e+00 1.430618711997956538e+00 0.000000000000000000e+00
7.000000000000000000e+00 1.400000000000000133e-01 1.600000000000000033e-01 1.500000000000000222e-01 5.663244356871199696e-03 0.000000000000000000e+00 1.903736711241371449e+00 0.000000000000000000e+00
8.000000000000000000e+00 1.600000000000000033e-01 1.799999999999999933e-01 1.699999999999999845e-01 7.271739795509169109e-03 0.000000000000000000e+00 2.444442996090997688e+00 0.000000000000000000e+00
9.000000000000000000e+00 1.799999999999999933e-01 2.000000000000000111e-01 1.900000000000000022e-01 9.081297163976905298e-03 0.000000000000000000e+00 3.052737566546834813e+00 0.000000000000000000e+00
1.000000000000000000e+01 2.000000000000000111e-01 2.200000000000000011e-01 2.100000000000000200e-01 1.109191646227435275e-02 0.000000000000000000e+00 3.728620422608866836e+00 0.000000000000000000e+00
1.100000000000000000e+01 2.200000000000000011e-01 2.399999999999999911e-01 2.299999999999999822e-01 1.330359769040156959e-02 0.000000000000000000e+00 4.472091564277087983e+00 0.000000000000000000e+00
1.200000000000000000e+01 2.399999999999999911e-01 2.600000000000000089e-01 2.500000000000000000e-01 1.571634084835855233e-02 0.000000000000000000e+00 5.283150991551513798e+00 0.000000000000000000e+00
1.300000000000000000e+01 2.600000000000000089e-01 2.800000000000000266e-01 2.700000000000000178e-01 1.833014593614526455e-02 0.000000000000000000e+00 6.161798704432177587e+00 0.000000000000000000e+00
1.400000000000000000e+01 2.800000000000000266e-01 2.999999999999999889e-01 2.900000000000000355e-01 2.114501295376165768e-02 0.000000000000000000e+00 7.108034702918974546e+00 0.000000000000000000e+00
1.500000000000000000e+01 2.999999999999999889e-01 3.200000000000000067e-01 3.099999999999999978e-01 2.416094190120793989e-02 0.000000000000000000e+00 8.121858987012041453e+00 0.000000000000000000e+00
1.600000000000000000e+01 3.200000000000000067e-01 3.400000000000000244e-01 3.300000000000000155e-01 2.737793277848384749e-02 0.000000000000000000e+00 9.203271556711303703e+00 0.000000000000000000e+00
1.700000000000000000e+01 3.400000000000000244e-01 3.599999999999999867e-01 3.499999999999999778e-01 3.079598558558950191e-02 0.000000000000000000e+00 1.035227241201673642e+01 0.000000000000000000e+00
1.800000000000000000e+01 3.599999999999999867e-01 3.800000000000000044e-01 3.699999999999999956e-01 3.441510032252501766e-02 0.000000000000000000e+00 1.156886155292840357e+01 0.000000000000000000e+00
