r(A)    g_O*O
0.00    0.00
0.05    0.00
0.10    0.00
0.15    0.00
0.20    0.00
0.25    0.00
0.30    0.00
0.35    0.00
0.40    0.00
0.45    0.00
0.50    0.00
0.55    0.00
0.60    0.00
0.65    0.00
0.70    0.00
0.75    0.00
0.80    0.00
0.85    0.00
0.90    0.00
0.95    0.00
1.00    0.00
1.05    0.00
1.10    0.00
1.15    0.00
1.20    0.00
1.25    0.00
1.30    0.00
1.35    0.00
1.40    0.00
1.45    0.00
1.50    0.00
1.55    0.00
1.60    0.00
1.65    0.00
1.70    0.00
1.75    0.00
1.80    0.00
1.85    0.00
1.90    0.00
1.95    0.00
2.00    0.00
2.05    0.00
2.10    0.00
2.15    0.00
2.20    0.00
2.25    0.08
2.30    0.38
2.35    0.95
2.40    1.80
2.45    2.65
2.50    3.25
2.55    3.45
2.60    3.40
2.65    3.05
2.70    2.45
2.75    1.82
2.80    1.30
2.85    0.95
2.90    0.75
2.95    0.63
3.00    0.55
3.05    0.50
3.10    0.47
3.15    0.45
3.20    0.44
3.25    0.45
3.30    0.47
3.35    0.50
3.40    0.55
3.45    0.60
3.50    0.66
3.55    0.73
3.60    0.80
3.65    0.88
3.70    0.96
3.75    1.04
3.80    1.11
3.85    1.18
3.90    1.24
3.95    1.29
4.00    1.33
4.05    1.37
4.10    1.40
4.15    1.42
4.20    1.44
4.25    1.45
4.30    1.44
4.35    1.43
4.40    1.41
4.45    1.39
4.50    1.36
4.55    1.33
4.60    1.29
4.65    1.25
4.70    1.21
4.75    1.18
4.80    1.14
4.85    1.11
4.90    1.08
4.95    1.05
5.00    1.03
