bin_index  r_left_A  r_right_A  r_center_A  shell_volume_A3  counts  normalization  g_r
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-02 1.000000000000000021e-02 3.351032163829113108e-05 0.000000000000000000e+00 1.249089923476081644e-02 0.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000042e-02 4.000000000000000083e-02 2.999999999999999889e-02 2.345722514680378837e-04 0.000000000000000000e+00 8.743629464332584866e-02 0.000000000000000000e+00
2.000000000000000000e+00 4.000000000000000083e-02 5.999999999999999778e-02 5.000000000000000278e-02 6.366961111275311856e-04 0.000000000000000000e+00 2.373270854604572766e-01 0.000000000000000000e+00
3.000000000000000000e+00 5.999999999999999778e-02 8.000000000000000167e-02 7.000000000000000666e-02 1.239881900616772318e-03 0.000000000000000000e+00 4.621632716861515666e-01 0.000000000000000000e+00
4.000000000000000000e+00 8.000000000000000167e-02 1.000000000000000056e-01 8.999999999999999667e-02 2.044129619935759409e-03 0.000000000000000000e+00 7.619448533204125074e-01 0.000000000000000000e+00
5.000000000000000000e+00 1.000000000000000056e-01 1.199999999999999956e-01 1.100000000000000006e-01 3.049439269084490076e-03 0.000000000000000000e+00 1.136671830363237712e+00 0.000000000000000000e+00
6.000000000000000000e+00 1.199999999999999956e-01 1.400000000000000133e-01 1.300000000000000044e-01 4.255810848062977110e-03 0.000000000000000000e+00 1.586344202814640392e+00 0.000000000000000000e+00
7.000000000000000000e+00 1.400000000000000133e-01 1.600000000000000033e-01 1.500000000000000222e-01 5.663244356871199696e-03 0.000000000000000000e+00 2.110961970674579913e+00 0.000000000000000000e+00
8.000000000000000000e+00 1.600000000000000033e-01 1.799999999999999933e-01 1.699999999999999845e-01 7.271739795509169109e-03 0.000000000000000000e+00 2.710525133943104237e+00 0.000000000000000000e+00
9.000000000000000000e+00 1.799999999999999933e-01 2.000000000000000111e-01 1.900000000000000022e-01 9.081297163976905298e-03 0.000000000000000000e+00 3.385033692620194490e+00 0.000000000000000000e+00
1.000000000000000000e+01 2.000000000000000111e-01 2.200000000000000011e-01 2.100000000000000200e-01 1.109191646227435275e-02 0.000000000000000000e+00 4.134487646705835573e+00 0.000000000000000000e+00
1.100000000000000000e+01 2.200000000000000011e-01 2.399999999999999911e-01 2.299999999999999822e-01 1.330359769040156959e-02 0.000000000000000000e+00 4.958886996200080333e+00 0.000000000000000000e+00
1.200000000000000000e+01 2.399999999999999911e-01 2.600000000000000089e-01 2.500000000000000000e-01 1.571634084835855233e-02 0.000000000000000000e+00 5.858231741102831514e+00 0.000000000000000000e+00
