argument_index_zero_based,LAMMPS_variable,value
0,rcut,8.000000000000
1,qOO,36.067922929754
2,qOH,6.015768135958
3,qOe,6.033262097851
4,qHH,1.006605738645
5,qHe,1.005525584469
6,kappaHH,0.653009191453
7,tauHH,5.473842140705
8,rhoHH,1.806671846062
9,kappaOH,0.244166233105
10,tauOH,4.423427127383
11,rhoOH,2.123578881855
12,kappaOO,0.440269738208
13,tauOO,3.464002733606
14,rhoOO,2.264284887345
15,Rwall,2.894074361762
16,Arep,0.745421211233
17,Brep,0.029027028805
18,aHe,0.252008584712
19,aH1,0.793165134230
20,aH2,0.940975268902
21,aH3,0.816113613427
22,aH4,2.227693842236
23,nH2,2.103939021459
24,nH3,5.053394543603
25,nH4,6.218097780497
26,aOe,0.333252502185
27,aO1,0.588291449554
28,aO2,0.462449510358
29,aO3,0.388317833138
30,aO4,0.668438858335
31,pOe,0.308320770063
32,nO2,1.807850122726
33,nO3,4.657324593281
34,nO4,6.124651150575
35,aee,0.206530759214
36,ae1,1.282194520834
37,ae2,0.720743729857
38,ae3,0.787899870248
39,ae4,0.811469297120
40,kee,1.544767804506
41,pee,0.705525470862
42,ne2,1.962409030927
43,ne3,4.079863284305
44,ne4,5.915944566518
45,rePauli,1.209009659618
46,rcPauli,1.218473580896
47,KkPauli,0.194947051245
48,rkPauli,1.282361542764
49,pkPauli,3.250309186103
50,kKE,1.206423797581
51,AKE,0.167037615672
52,BKE,5.318778377471
53,CKE,0.637623660240
54,DKE,31.964678871255
55,smax1,0.933901288659
56,smin1,0.340662334454
57,smax2,0.942567814719
58,smin2,0.328938193910
